component,year,region,value
Net additions,2000-01,North East,2890.0
Net additions,2001-02,North East,4489.0
Net additions,2002-03,North East,5343.0
Net additions,2003-04,North East,5231.0
Net additions,2004-05,North East,6972.0
Net additions,2005-06,North East,6927.0
Net additions,2006-07,North East,8561.0
Net additions,2007-08,North East,8898.0
Net additions,2008-09,North East,5700.0
Net additions,2009-10,North East,5131.0
Net additions,2010-11,North East,6105.0
Net additions,2011-12,North East,3939.0
Net additions,2012-13,North East,3589.0
Net additions,2013-14,North East,3488.0
Net additions,2014-15,North East,6908.0
Net additions,2015-16,North East,7171.0
Net additions,2016-17,North East,9838.0
Net additions,2017-18,North East,9142.0
Net additions,2018-19,North East,9419.0
Net additions,2019-20,North East,8987.0
Net additions,2020-21,North East,7144.0
Net additions,2021-22,North East,8926.0
Net additions,2022-23,North East,9339.0
Net additions,2023-24,North East,7937.0
Net additions,2024-25,North East,8337.0
New build,2000-01,North East,
New build,2001-02,North East,
New build,2002-03,North East,
New build,2003-04,North East,
New build,2004-05,North East,
New build,2005-06,North East,
New build,2006-07,North East,9038.0
New build,2007-08,North East,9600.0
New build,2008-09,North East,6060.0
New build,2009-10,North East,5078.0
New build,2010-11,North East,5795.0
New build,2011-12,North East,5310.0
New build,2012-13,North East,5663.0
New build,2013-14,North East,5034.0
New build,2014-15,North East,7533.0
New build,2015-16,North East,8022.0
New build,2016-17,North East,9869.0
New build,2017-18,North East,9776.0
New build,2018-19,North East,9651.0
New build,2019-20,North East,9120.0
New build,2020-21,North East,7482.0
New build,2021-22,North East,8836.0
New build,2022-23,North East,9222.0
New build,2023-24,North East,7951.0
New build,2024-25,North East,8573.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2024-25,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2020-21,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2021-22,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2022-23,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2023-24,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2024-25,North East,0.0
Of which under PDR: unspecified (new build),2020-21,North East,0.0
Of which under PDR: unspecified (new build),2021-22,North East,0.0
Of which under PDR: unspecified (new build),2022-23,North East,0.0
Of which under PDR: unspecified (new build),2023-24,North East,0.0
Of which under PDR: unspecified (new build),2024-25,North East,0.0
Of which under PDR: total (new build),2020-21,North East,0.0
Of which under PDR: total (new build),2021-22,North East,0.0
Of which under PDR: total (new build),2022-23,North East,0.0
Of which under PDR: total (new build),2023-24,North East,0.0
Of which under PDR: total (new build),2024-25,North East,0.0
Net conversions,2000-01,North East,
Net conversions,2001-02,North East,
Net conversions,2002-03,North East,
Net conversions,2003-04,North East,
Net conversions,2004-05,North East,
Net conversions,2005-06,North East,
Net conversions,2006-07,North East,50.0
Net conversions,2007-08,North East,230.0
Net conversions,2008-09,North East,170.0
Net conversions,2009-10,North East,113.0
Net conversions,2010-11,North East,28.0
Net conversions,2011-12,North East,59.0
Net conversions,2012-13,North East,93.0
Net conversions,2013-14,North East,168.0
Net conversions,2014-15,North East,93.0
Net conversions,2015-16,North East,126.0
Net conversions,2016-17,North East,220.0
Net conversions,2017-18,North East,16.0
Net conversions,2018-19,North East,35.0
Net conversions,2019-20,North East,37.0
Net conversions,2020-21,North East,23.0
Net conversions,2021-22,North East,34.0
Net conversions,2022-23,North East,48.0
Net conversions,2023-24,North East,45.0
Net conversions,2024-25,North East,36.0
Net change of use,2000-01,North East,
Net change of use,2001-02,North East,
Net change of use,2002-03,North East,
Net change of use,2003-04,North East,
Net change of use,2004-05,North East,
Net change of use,2005-06,North East,
Net change of use,2006-07,North East,570.0
Net change of use,2007-08,North East,650.0
Net change of use,2008-09,North East,420.0
Net change of use,2009-10,North East,416.0
Net change of use,2010-11,North East,442.0
Net change of use,2011-12,North East,295.0
Net change of use,2012-13,North East,300.0
Net change of use,2013-14,North East,378.0
Net change of use,2014-15,North East,1034.0
Net change of use,2015-16,North East,767.0
Net change of use,2016-17,North East,1057.0
Net change of use,2017-18,North East,528.0
Net change of use,2018-19,North East,833.0
Net change of use,2019-20,North East,574.0
Net change of use,2020-21,North East,383.0
Net change of use,2021-22,North East,449.0
Net change of use,2022-23,North East,376.0
Net change of use,2023-24,North East,219.0
Net change of use,2024-25,North East,189.0
Of which under PDR: agricultural to residential,2015-16,North East,0.0
Of which under PDR: agricultural to residential,2016-17,North East,5.0
Of which under PDR: agricultural to residential,2017-18,North East,0.0
Of which under PDR: agricultural to residential,2018-19,North East,28.0
Of which under PDR: agricultural to residential,2019-20,North East,2.0
Of which under PDR: agricultural to residential,2020-21,North East,4.0
Of which under PDR: agricultural to residential,2021-22,North East,6.0
Of which under PDR: agricultural to residential,2022-23,North East,6.0
Of which under PDR: agricultural to residential,2023-24,North East,9.0
Of which under PDR: agricultural to residential,2024-25,North East,6.0
Of which under PDR: office to residential,2015-16,North East,195.0
Of which under PDR: office to residential,2016-17,North East,421.0
Of which under PDR: office to residential,2017-18,North East,200.0
Of which under PDR: office to residential,2018-19,North East,321.0
Of which under PDR: office to residential,2019-20,North East,260.0
Of which under PDR: office to residential,2020-21,North East,60.0
Of which under PDR: office to residential,2021-22,North East,80.0
Of which under PDR: office to residential,2022-23,North East,202.0
Of which under PDR: office to residential,2023-24,North East,9.0
Of which under PDR: office to residential,2024-25,North East,58.0
Of which under PDR: storage to residential,2015-16,North East,3.0
Of which under PDR: storage to residential,2016-17,North East,4.0
Of which under PDR: storage to residential,2017-18,North East,49.0
Of which under PDR: storage to residential,2018-19,North East,2.0
Of which under PDR: storage to residential,2019-20,North East,6.0
Of which under PDR: storage to residential,2020-21,North East,2.0
Of which under PDR: storage to residential,2021-22,North East,14.0
Of which under PDR: storage to residential,2022-23,North East,3.0
Of which under PDR: storage to residential,2023-24,North East,13.0
Of which under PDR: light industrial use to residential,2015-16,North East,
Of which under PDR: light industrial use to residential,2016-17,North East,
Of which under PDR: light industrial use to residential,2017-18,North East,0.0
Of which under PDR: light industrial use to residential,2018-19,North East,0.0
Of which under PDR: light industrial use to residential,2019-20,North East,3.0
Of which under PDR: light industrial use to residential,2020-21,North East,1.0
Of which under PDR: light industrial use to residential,2021-22,North East,1.0
Of which under PDR: light industrial use to residential,2022-23,North East,0.0
Of which under PDR: light industrial use to residential,2023-24,North East,0.0
Of which under PDR: light industrial use to residential,2024-25,North East,0.0
"Of which under PDR: commercial, business and service to residential",2022-23,North East,31.0
"Of which under PDR: commercial, business and service to residential",2023-24,North East,3.0
"Of which under PDR: commercial, business and service to residential",2024-25,North East,9.0
Of which under PDR: any other to residential,2015-16,North East,51.0
Of which under PDR: any other to residential,2016-17,North East,26.0
Of which under PDR: any other to residential,2017-18,North East,45.0
Of which under PDR: any other to residential,2018-19,North East,16.0
Of which under PDR: any other to residential,2019-20,North East,25.0
Of which under PDR: any other to residential,2020-21,North East,28.0
Of which under PDR: any other to residential,2021-22,North East,17.0
Of which under PDR: any other to residential,2022-23,North East,8.0
Of which under PDR: any other to residential,2023-24,North East,30.0
Of which under PDR: any other to residential,2024-25,North East,40.0
Of which under PDR: unspecified to residential,2015-16,North East,0.0
Of which under PDR: unspecified to residential,2016-17,North East,0.0
Of which under PDR: unspecified to residential,2017-18,North East,0.0
Of which under PDR: unspecified to residential,2018-19,North East,0.0
Of which under PDR: unspecified to residential,2019-20,North East,0.0
Of which under PDR: unspecified to residential,2020-21,North East,0.0
Of which under PDR: unspecified to residential,2021-22,North East,0.0
Of which under PDR: unspecified to residential,2022-23,North East,0.0
Of which under PDR: unspecified to residential,2023-24,North East,0.0
Of which under PDR: unspecified to residential,2024-25,North East,0.0
Of which under PDR: total to residential,2015-16,North East,249.0
Of which under PDR: total to residential,2016-17,North East,456.0
Of which under PDR: total to residential,2017-18,North East,294.0
Of which under PDR: total to residential,2018-19,North East,367.0
Of which under PDR: total to residential,2019-20,North East,296.0
Of which under PDR: total to residential,2020-21,North East,95.0
Of which under PDR: total to residential,2021-22,North East,118.0
Of which under PDR: total to residential,2022-23,North East,250.0
Of which under PDR: total to residential,2023-24,North East,64.0
Of which under PDR: total to residential,2024-25,North East,113.0
Net other gains and losses,2000-01,North East,
Net other gains and losses,2001-02,North East,
Net other gains and losses,2002-03,North East,
Net other gains and losses,2003-04,North East,
Net other gains and losses,2004-05,North East,
Net other gains and losses,2005-06,North East,
Net other gains and losses,2006-07,North East,-5.0
Net other gains and losses,2007-08,North East,2.0
Net other gains and losses,2008-09,North East,0.0
Net other gains and losses,2009-10,North East,9.0
Net other gains and losses,2010-11,North East,11.0
Net other gains and losses,2011-12,North East,5.0
Net other gains and losses,2012-13,North East,12.0
Net other gains and losses,2013-14,North East,9.0
Net other gains and losses,2014-15,North East,34.0
Net other gains and losses,2015-16,North East,14.0
Net other gains and losses,2016-17,North East,8.0
Net other gains and losses,2017-18,North East,59.0
Net other gains and losses,2018-19,North East,-35.0
Net other gains and losses,2019-20,North East,13.0
Net other gains and losses,2020-21,North East,9.0
Net other gains and losses,2021-22,North East,18.0
Net other gains and losses,2022-23,North East,10.0
Net other gains and losses,2023-24,North East,-56.0
Net other gains and losses,2024-25,North East,15.0
Demolitions,2000-01,North East,
Demolitions,2001-02,North East,
Demolitions,2002-03,North East,
Demolitions,2003-04,North East,
Demolitions,2004-05,North East,
Demolitions,2005-06,North East,
Demolitions,2006-07,North East,2483.0
Demolitions,2007-08,North East,2975.0
Demolitions,2008-09,North East,2330.0
Demolitions,2009-10,North East,1876.0
Demolitions,2010-11,North East,1562.0
Demolitions,2011-12,North East,1098.0
Demolitions,2012-13,North East,1847.0
Demolitions,2013-14,North East,1469.0
Demolitions,2014-15,North East,1154.0
Demolitions,2015-16,North East,1126.0
Demolitions,2016-17,North East,684.0
Demolitions,2017-18,North East,605.0
Demolitions,2018-19,North East,433.0
Demolitions,2019-20,North East,125.0
Demolitions,2020-21,North East,121.0
Demolitions,2021-22,North East,411.0
Demolitions,2022-23,North East,317.0
Demolitions,2023-24,North East,222.0
Demolitions,2024-25,North East,476.0
Of which under PDR: demolitions,2020-21,North East,3.0
Of which under PDR: demolitions,2021-22,North East,0.0
Of which under PDR: demolitions,2022-23,North East,1.0
Of which under PDR: demolitions,2023-24,North East,0.0
Of which under PDR: demolitions,2024-25,North East,92.0
Adjustment to Census 2011,2000-01,North East,
Adjustment to Census 2011,2001-02,North East,1391.0
Adjustment to Census 2011,2002-03,North East,1391.0
Adjustment to Census 2011,2003-04,North East,1391.0
Adjustment to Census 2011,2004-05,North East,1391.0
Adjustment to Census 2011,2005-06,North East,1391.0
Adjustment to Census 2011,2006-07,North East,1391.0
Adjustment to Census 2011,2007-08,North East,1391.0
Adjustment to Census 2011,2008-09,North East,1391.0
Adjustment to Census 2011,2009-10,North East,1391.0
Adjustment to Census 2011,2010-11,North East,1391.0
Adjustment to Census 2021,2011-12,North East,-632.0
Adjustment to Census 2021,2012-13,North East,-632.0
Adjustment to Census 2021,2013-14,North East,-632.0
Adjustment to Census 2021,2014-15,North East,-632.0
Adjustment to Census 2021,2015-16,North East,-632.0
Adjustment to Census 2021,2016-17,North East,-632.0
Adjustment to Census 2021,2017-18,North East,-632.0
Adjustment to Census 2021,2018-19,North East,-632.0
Adjustment to Census 2021,2019-20,North East,-632.0
Adjustment to Census 2021,2020-21,North East,-632.0
Adjustment to Census 2021,2021-22,North East,
Adjustment to Census 2021,2022-23,North East,
Adjustment to Census 2021,2023-24,North East,
Adjustment to Census 2021,2024-25,North East,
Residual,2000-01,North East,
Residual,2001-02,North East,
Residual,2002-03,North East,
Residual,2003-04,North East,
Residual,2004-05,North East,
Residual,2005-06,North East,
Residual,2006-07,North East,0.0
Residual,2007-08,North East,0.0
Residual,2008-09,North East,-11.0
Residual,2009-10,North East,0.0
Residual,2010-11,North East,0.0
Residual,2011-12,North East,0.0
Residual,2012-13,North East,0.0
Residual,2013-14,North East,0.0
Residual,2014-15,North East,0.0
Residual,2015-16,North East,0.0
Residual,2016-17,North East,0.0
Residual,2017-18,North East,0.0
Residual,2018-19,North East,0.0
Residual,2019-20,North East,0.0
Residual,2020-21,North East,0.0
Residual,2021-22,North East,0.0
Residual,2022-23,North East,0.0
Residual,2023-24,North East,0.0
Residual,2024-25,North East,0.0
Net additions,2000-01,North West,10720.0
Net additions,2001-02,North West,13543.0
Net additions,2002-03,North West,18120.0
Net additions,2003-04,North West,21853.0
Net additions,2004-05,North West,21411.0
Net additions,2005-06,North West,23832.0
Net additions,2006-07,North West,26009.0
Net additions,2007-08,North West,29314.0
Net additions,2008-09,North West,19569.0
Net additions,2009-10,North West,13397.0
Net additions,2010-11,North West,11793.0
Net additions,2011-12,North West,10612.0
Net additions,2012-13,North West,12702.0
Net additions,2013-14,North West,13258.0
Net additions,2014-15,North West,18379.0
Net additions,2015-16,North West,19357.0
Net additions,2016-17,North West,23976.0
Net additions,2017-18,North West,25848.0
Net additions,2018-19,North West,29654.0
Net additions,2019-20,North West,33177.0
Net additions,2020-21,North West,27951.0
Net additions,2021-22,North West,28469.0
Net additions,2022-23,North West,26999.0
Net additions,2023-24,North West,26881.0
Net additions,2024-25,North West,25195.0
New build,2000-01,North West,
New build,2001-02,North West,
New build,2002-03,North West,
New build,2003-04,North West,
New build,2004-05,North West,
New build,2005-06,North West,
New build,2006-07,North West,23693.0
New build,2007-08,North West,25783.0
New build,2008-09,North West,17590.0
New build,2009-10,North West,12325.0
New build,2010-11,North West,10444.0
New build,2011-12,North West,11761.0
New build,2012-13,North West,13270.0
New build,2013-14,North West,14253.0
New build,2014-15,North West,18165.0
New build,2015-16,North West,17606.0
New build,2016-17,North West,21586.0
New build,2017-18,North West,23473.0
New build,2018-19,North West,27346.0
New build,2019-20,North West,30223.0
New build,2020-21,North West,26126.0
New build,2021-22,North West,26362.0
New build,2022-23,North West,24645.0
New build,2023-24,North West,24889.0
New build,2024-25,North West,24072.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2020-21,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2021-22,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2022-23,North West,33.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2023-24,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2024-25,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2020-21,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2021-22,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2022-23,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2023-24,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2024-25,North West,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2020-21,North West,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2021-22,North West,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2022-23,North West,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2023-24,North West,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2024-25,North West,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2020-21,North West,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2021-22,North West,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2022-23,North West,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2023-24,North West,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2024-25,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2020-21,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2021-22,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2022-23,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2023-24,North West,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2024-25,North West,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2020-21,North West,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2021-22,North West,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2022-23,North West,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2023-24,North West,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2024-25,North West,0.0
Of which under PDR: unspecified (new build),2020-21,North West,144.0
Of which under PDR: unspecified (new build),2021-22,North West,0.0
Of which under PDR: unspecified (new build),2022-23,North West,0.0
Of which under PDR: unspecified (new build),2023-24,North West,3.0
Of which under PDR: unspecified (new build),2024-25,North West,0.0
Of which under PDR: total (new build),2020-21,North West,144.0
Of which under PDR: total (new build),2021-22,North West,0.0
Of which under PDR: total (new build),2022-23,North West,33.0
Of which under PDR: total (new build),2023-24,North West,3.0
Of which under PDR: total (new build),2024-25,North West,0.0
Net conversions,2000-01,North West,
Net conversions,2001-02,North West,
Net conversions,2002-03,North West,
Net conversions,2003-04,North West,
Net conversions,2004-05,North West,
Net conversions,2005-06,North West,
Net conversions,2006-07,North West,480.0
Net conversions,2007-08,North West,965.0
Net conversions,2008-09,North West,370.0
Net conversions,2009-10,North West,355.0
Net conversions,2010-11,North West,348.0
Net conversions,2011-12,North West,362.0
Net conversions,2012-13,North West,418.0
Net conversions,2013-14,North West,253.0
Net conversions,2014-15,North West,342.0
Net conversions,2015-16,North West,355.0
Net conversions,2016-17,North West,466.0
Net conversions,2017-18,North West,251.0
Net conversions,2018-19,North West,357.0
Net conversions,2019-20,North West,265.0
Net conversions,2020-21,North West,266.0
Net conversions,2021-22,North West,218.0
Net conversions,2022-23,North West,298.0
Net conversions,2023-24,North West,242.0
Net conversions,2024-25,North West,260.0
Net change of use,2000-01,North West,
Net change of use,2001-02,North West,
Net change of use,2002-03,North West,
Net change of use,2003-04,North West,
Net change of use,2004-05,North West,
Net change of use,2005-06,North West,
Net change of use,2006-07,North West,2620.0
Net change of use,2007-08,North West,2712.0
Net change of use,2008-09,North West,2030.0
Net change of use,2009-10,North West,1476.0
Net change of use,2010-11,North West,1173.0
Net change of use,2011-12,North West,1331.0
Net change of use,2012-13,North West,1709.0
Net change of use,2013-14,North West,1115.0
Net change of use,2014-15,North West,2046.0
Net change of use,2015-16,North West,2886.0
Net change of use,2016-17,North West,3359.0
Net change of use,2017-18,North West,3057.0
Net change of use,2018-19,North West,3160.0
Net change of use,2019-20,North West,3729.0
Net change of use,2020-21,North West,2390.0
Net change of use,2021-22,North West,2329.0
Net change of use,2022-23,North West,2560.0
Net change of use,2023-24,North West,2375.0
Net change of use,2024-25,North West,1259.0
Of which under PDR: agricultural to residential,2015-16,North West,21.0
Of which under PDR: agricultural to residential,2016-17,North West,14.0
Of which under PDR: agricultural to residential,2017-18,North West,27.0
Of which under PDR: agricultural to residential,2018-19,North West,127.0
Of which under PDR: agricultural to residential,2019-20,North West,58.0
Of which under PDR: agricultural to residential,2020-21,North West,44.0
Of which under PDR: agricultural to residential,2021-22,North West,34.0
Of which under PDR: agricultural to residential,2022-23,North West,47.0
Of which under PDR: agricultural to residential,2023-24,North West,49.0
Of which under PDR: agricultural to residential,2024-25,North West,22.0
Of which under PDR: office to residential,2015-16,North West,243.0
Of which under PDR: office to residential,2016-17,North West,750.0
Of which under PDR: office to residential,2017-18,North West,897.0
Of which under PDR: office to residential,2018-19,North West,1142.0
Of which under PDR: office to residential,2019-20,North West,1294.0
Of which under PDR: office to residential,2020-21,North West,733.0
Of which under PDR: office to residential,2021-22,North West,576.0
Of which under PDR: office to residential,2022-23,North West,691.0
Of which under PDR: office to residential,2023-24,North West,681.0
Of which under PDR: office to residential,2024-25,North West,271.0
Of which under PDR: storage to residential,2015-16,North West,0.0
Of which under PDR: storage to residential,2016-17,North West,4.0
Of which under PDR: storage to residential,2017-18,North West,19.0
Of which under PDR: storage to residential,2018-19,North West,7.0
Of which under PDR: storage to residential,2019-20,North West,15.0
Of which under PDR: storage to residential,2020-21,North West,7.0
Of which under PDR: storage to residential,2021-22,North West,1.0
Of which under PDR: storage to residential,2022-23,North West,6.0
Of which under PDR: storage to residential,2023-24,North West,1.0
Of which under PDR: light industrial use to residential,2015-16,North West,
Of which under PDR: light industrial use to residential,2016-17,North West,
Of which under PDR: light industrial use to residential,2017-18,North West,2.0
Of which under PDR: light industrial use to residential,2018-19,North West,10.0
Of which under PDR: light industrial use to residential,2019-20,North West,6.0
Of which under PDR: light industrial use to residential,2020-21,North West,1.0
Of which under PDR: light industrial use to residential,2021-22,North West,7.0
Of which under PDR: light industrial use to residential,2022-23,North West,7.0
Of which under PDR: light industrial use to residential,2023-24,North West,1.0
Of which under PDR: light industrial use to residential,2024-25,North West,0.0
"Of which under PDR: commercial, business and service to residential",2022-23,North West,53.0
"Of which under PDR: commercial, business and service to residential",2023-24,North West,116.0
"Of which under PDR: commercial, business and service to residential",2024-25,North West,129.0
Of which under PDR: any other to residential,2015-16,North West,20.0
Of which under PDR: any other to residential,2016-17,North West,51.0
Of which under PDR: any other to residential,2017-18,North West,100.0
Of which under PDR: any other to residential,2018-19,North West,54.0
Of which under PDR: any other to residential,2019-20,North West,76.0
Of which under PDR: any other to residential,2020-21,North West,98.0
Of which under PDR: any other to residential,2021-22,North West,93.0
Of which under PDR: any other to residential,2022-23,North West,22.0
Of which under PDR: any other to residential,2023-24,North West,84.0
Of which under PDR: any other to residential,2024-25,North West,97.0
Of which under PDR: unspecified to residential,2015-16,North West,86.0
Of which under PDR: unspecified to residential,2016-17,North West,73.0
Of which under PDR: unspecified to residential,2017-18,North West,0.0
Of which under PDR: unspecified to residential,2018-19,North West,0.0
Of which under PDR: unspecified to residential,2019-20,North West,0.0
Of which under PDR: unspecified to residential,2020-21,North West,26.0
Of which under PDR: unspecified to residential,2021-22,North West,0.0
Of which under PDR: unspecified to residential,2022-23,North West,1.0
Of which under PDR: unspecified to residential,2023-24,North West,7.0
Of which under PDR: unspecified to residential,2024-25,North West,8.0
Of which under PDR: total to residential,2015-16,North West,370.0
Of which under PDR: total to residential,2016-17,North West,892.0
Of which under PDR: total to residential,2017-18,North West,1045.0
Of which under PDR: total to residential,2018-19,North West,1340.0
Of which under PDR: total to residential,2019-20,North West,1449.0
Of which under PDR: total to residential,2020-21,North West,909.0
Of which under PDR: total to residential,2021-22,North West,711.0
Of which under PDR: total to residential,2022-23,North West,827.0
Of which under PDR: total to residential,2023-24,North West,939.0
Of which under PDR: total to residential,2024-25,North West,527.0
Net other gains and losses,2000-01,North West,
Net other gains and losses,2001-02,North West,
Net other gains and losses,2002-03,North West,
Net other gains and losses,2003-04,North West,
Net other gains and losses,2004-05,North West,
Net other gains and losses,2005-06,North West,
Net other gains and losses,2006-07,North West,293.0
Net other gains and losses,2007-08,North West,727.0
Net other gains and losses,2008-09,North West,160.0
Net other gains and losses,2009-10,North West,29.0
Net other gains and losses,2010-11,North West,31.0
Net other gains and losses,2011-12,North West,21.0
Net other gains and losses,2012-13,North West,-3.0
Net other gains and losses,2013-14,North West,19.0
Net other gains and losses,2014-15,North West,-39.0
Net other gains and losses,2015-16,North West,95.0
Net other gains and losses,2016-17,North West,79.0
Net other gains and losses,2017-18,North West,71.0
Net other gains and losses,2018-19,North West,88.0
Net other gains and losses,2019-20,North West,-6.0
Net other gains and losses,2020-21,North West,49.0
Net other gains and losses,2021-22,North West,42.0
Net other gains and losses,2022-23,North West,133.0
Net other gains and losses,2023-24,North West,-9.0
Net other gains and losses,2024-25,North West,53.0
Demolitions,2000-01,North West,
Demolitions,2001-02,North West,
Demolitions,2002-03,North West,
Demolitions,2003-04,North West,
Demolitions,2004-05,North West,
Demolitions,2005-06,North West,
Demolitions,2006-07,North West,4339.0
Demolitions,2007-08,North West,3912.0
Demolitions,2008-09,North West,3840.0
Demolitions,2009-10,North West,4050.0
Demolitions,2010-11,North West,3464.0
Demolitions,2011-12,North West,2558.0
Demolitions,2012-13,North West,2387.0
Demolitions,2013-14,North West,2077.0
Demolitions,2014-15,North West,1830.0
Demolitions,2015-16,North West,1280.0
Demolitions,2016-17,North West,1209.0
Demolitions,2017-18,North West,699.0
Demolitions,2018-19,North West,992.0
Demolitions,2019-20,North West,729.0
Demolitions,2020-21,North West,575.0
Demolitions,2021-22,North West,482.0
Demolitions,2022-23,North West,637.0
Demolitions,2023-24,North West,616.0
Demolitions,2024-25,North West,449.0
Of which under PDR: demolitions,2020-21,North West,0.0
Of which under PDR: demolitions,2021-22,North West,2.0
Of which under PDR: demolitions,2022-23,North West,0.0
Of which under PDR: demolitions,2023-24,North West,0.0
Of which under PDR: demolitions,2024-25,North West,12.0
Adjustment to Census 2011,2000-01,North West,
Adjustment to Census 2011,2001-02,North West,3262.0
Adjustment to Census 2011,2002-03,North West,3262.0
Adjustment to Census 2011,2003-04,North West,3262.0
Adjustment to Census 2011,2004-05,North West,3262.0
Adjustment to Census 2011,2005-06,North West,3262.0
Adjustment to Census 2011,2006-07,North West,3262.0
Adjustment to Census 2011,2007-08,North West,3262.0
Adjustment to Census 2011,2008-09,North West,3262.0
Adjustment to Census 2011,2009-10,North West,3262.0
Adjustment to Census 2011,2010-11,North West,3262.0
Adjustment to Census 2021,2011-12,North West,-305.0
Adjustment to Census 2021,2012-13,North West,-305.0
Adjustment to Census 2021,2013-14,North West,-305.0
Adjustment to Census 2021,2014-15,North West,-305.0
